"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Saint Jean-Baptiste";"Nicolas BAZIN";NA;"";"1633, Troyes (Aube, France) - 1710, Troyes (Aube, France)";"Estampe";"Gravure sur papier vergé";45;32.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"3092";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000101093"
"Prométhée attaché à son rocher. Le vautour attaque le buste";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";17;17.1;NA;"Mode d'acquisition non renseigné";"Acquisition";"4766";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066308"
"Le coupe-papier";"MORIN-JEAN (Jean Alexis MORIN, dit)";NA;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Gravure au burin sur papier";38.2;28.3;1951;"Don";"Don de Mlle Germaine Sauvaget-Morin-Jean en 1951";"951.4.23.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002836"
"Etude du faucheur, la faux à la main";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume, sanguine sur papier";20.2;20.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4662";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066208"
"Portrait de la maréchale duchesse de Feltre";"DUBUFE PÈRE (Claude-Marie DUBUFE, dit)";1852;"";"1790, Paris (France) - 1864, La Celle-Saint-Cloud (Yvelines, France)";"Peinture";"Assise dans un fauteuil, presque de face, en robe de velours noir, elle est coiffée d'un vaste bonnet orné de rubans de gaze blanche et de satin ; la main droite est appuyée sur le bras du fauteuil, la gauche repose sur les genouxHuile sur toile";131;98;1852;"Don";"Don de M Clarke de Feltre en 1852";"947";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004156"
"Daphnis couronne Chloë";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Peinture à l'huile sur papier calque";38.8;23.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4848";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067315"
"Dante";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";15;10;NA;"Mode d'acquisition non renseigné";"Acquisition";"sans inventaire";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000053986"
"Notre-Seigneur à droite regarde un personnage à genoux";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";26.8;16;NA;"Mode d'acquisition non renseigné";"Acquisition";"5241";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068453"
"L'embarcadère";"René PINARD";1899;"";"1883, Nantes (Loire-Atlantique, France) - 1938, Paris (France)";"Dessin";"Mine graphite sur papier vergé";12.5;15.6;1938;"Don";"Don de l'artiste en 1938";"3329";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003098"
"Déjanire dans les bras de Nessus. Son visage éploré est tourné à droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";9.7;10;NA;"Mode d'acquisition non renseigné";"Acquisition";"5412";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068854"
"Général à cheval";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";13.5;7.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5736";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069781"
"Etude de nu : homme profil droite";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Pierre noire, rehauts de craie blanche sur papier brun piqué pour report";64.7;30;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.8.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003800"
"Chambre de l'artiste dans un hôtel garni de Paris";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";10.2;16.6;1897;"Legs";"Legs de L Delaunay en 1897";"4060";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007045"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°71Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136386"
"Le château de Clisson";"Jean-Alexandre CORABOEUF";1925;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Estampe";"Héliogravure (reproduction d'une estampe)";27.2;41.1;2001;"Legs";"Legs en 2001";"01.1.2.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006441"
"Lisière du bois de Boulogne";"Georges Victor HUGO";NA;"";"1868, Bruxelles (Belgique) - 1925, Paris (France)";"Peinture";"Huile sur toile";50;61;1881;"Don";"Don de M Léopold Hugo en 1881";"2797";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005399"
"La justice poursuivant le Crime";"Jules Elie DELAUNAY";1891;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Peinture";"Au fond,la Justice en robe rouge, assise sur des nuages, présente de la main gauche une balance et une sentence à un homme nu qui s'enfuit au premier plan, vers la droite, un couteau ensanglanté à la main - Peinture inachevéeHuile sur toile ovale";266;339;NA;"Dépôt Fonds national d'art contemporain";"Acquisition en 1894Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes";"922 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004141"
"Illustration pour Notre-Dame de Paris de V. Hugo";"Luc-Olivier MERSON";1890;"";"1846, Paris (France) - 1920, Paris (France)";"Estampe";"Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné";28;22.4;1925;"Don";"Don de Héritiers Merson en 1925";"2731";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143196"
"Chemin de croix";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";31;20.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4008";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064839"
"Abraham lave les pieds d'un ange";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";10.4;13.9;NA;"Mode d'acquisition non renseigné";"Acquisition";"4272";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007099"
"Nantes, rue de la Baclerie";"Henry Wilfrid DEVILLE";1926;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Eau-forte sur papier";45;32;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3694";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082140"
"Un naufrage";"CAVALIER TEMPESTA (Pieter MULIER LE JEUNE, dit)";NA;"";"1637, Haarlem (Pays-Bas) - 1701, Milan (Italie)";"Peinture";"Huile sur toile";49.3;66;1810;"Achat";"Achat à M Cacault en 1810";"533";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006278"
"Portrait de Mme Vinoy";"Frédéric Adolphe YVON";1875;"";"1817, Eschwiller (Bas-Rhin, France) - 1893, Paris (France)";"Peinture";"Debout, le corps presque de face, le visage de 3/4 à droite, elle est coiffée en bandeaux, avec une retombée de fleurs dans les cheveux, et vêtue d'une robe de soie noire, largement décolletée. Collier de quatre rangs de perles. De la main droite, elle tient un gant blanc et de la gauche gantée, un évantail replié. Au poignet gauche, un bracelet d'or. Fond de muraille à lambris, avec filets de tapisserie verte.Huile sur toile";155.5;108.2;1911;"Don";"Don Mme Lourmand en 1911";"1234";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004323"
"New-York";"Henry Wilfrid DEVILLE";1909;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, Matrice cuivreEau-forte";16.2;8;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3597";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142950"
"Bélisaire";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Encre noire sur papier";13.4;20.7;1897;"Legs";"Legs de L Delaunay en 1897";"5082";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007205"
"Tête de méduse, vue de face";"Eugène FROMENT-DELORMEL";NA;"";"1820, Paris (France) - 1900, Paris (France)";"Dessin";"Aquarelle et gouache sur papier";NA;NA;1902;"Don";"Don en 1902";"1506";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008526"
"Carton intitulé """"Portraits"""" contenant 22 dessins et photos réhaussés";"PICOU";NA;"";"?, ? - ?, ?";"Dessin";"Mine de plomb et aquarelle";32.2;22.5;1986;"Don";"Don de Mme André Picou en 1986";"8835 ,  986.3.23.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005576"
"La marchande de violettes à Londres";"Jean-Emile LABOUREUR";1909;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Dessin";"Encre noire et gouache sur papier brun";38.1;27.4;1911;"Achat";"Achat à l'artiste en 1911";"1546";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002200"
"Nantes, Petite rue Courtine";"Henry Wilfrid DEVILLE";NA;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte sur papier";25.3;16.4;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3683";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082038"
"Canal Saint-Félix et cathédrale de Nantes";"Emile LEQUEUX";NA;"";"1871, Hauteville (Marne, France) - 1935, ?";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";32.8;50;1933;"Achat";"Achat en 1933";"2623(1)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005756"
"Illustration pour Notre-Dame de Paris de V. Hugo";"Luc-Olivier MERSON";1888;"";"1846, Paris (France) - 1920, Paris (France)";"Estampe";"Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné";27.9;22.4;1925;"Don";"Don de Héritiers Merson en 1925";"2685";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143149"
"Figures de guerriers nus";"Rodolphe BRESDIN";NA;"";"1822, Montrelais (Loire-Atlantique, France) - 1885, Sèvres (Hauts-de-Seine, France)";"Dessin";"Plume et encre sur papier calque";15.5;12;2008;"Donation";"Donation de Madame Gallico-Bresdin en 2008";"08.5.4.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000046056"
"Le ruisseau des Gorges";"Rodolphe BRESDIN";1871;"";"1822, Montrelais (Loire-Atlantique, France) - 1885, Sèvres (Hauts-de-Seine, France)";"Estampe";"lithographie sur papier";10.9;14.7;2007;"Don";"Don de Madame Gallico-Bresdin en 2007";"07.1.10.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007387"
"Personnage nu, de profil vers la droite, main droite levée, la gauche sur la poitrine";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";24;12;NA;"Mode d'acquisition non renseigné";"Acquisition";"5242";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068454"
"Municipal building portico in shadow, New York";"Henry Wilfrid DEVILLE";1914;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";33.3;25;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3749(1)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082640"
"Etude de tête d'homme";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";19.9;16;NA;"Mode d'acquisition non renseigné";"Acquisition";"4194";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065113"
"La leçon de dessin";"Jean-Alexandre CORABOEUF";1920;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Peinture";"Représente la fille de l'artiste, Madeleine, qui se fit connaître plus tard sous le nom de Magda Fontanges.Huile sur toile";100.4;82;1934;"Achat";"Achat en 1934";"2153";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001545"
"Barbizon - Venise";"Elise VORUZ";1907;"";"1844, Lausanne (Suisse) - 1909, Barbizon (Seine-et-Marne, France)";"Estampe";"Pointe sèche";10.5;13.4;NA;"Mode d'acquisition non renseigné";"Acquisition";"954.10.4.D (K)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069057"
"Etude de personnage";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"assi, main droite pendanteMine de plomb sur papier calque";16.8;13.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4628";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065355"
"Le congre";"Jean-Emile LABOUREUR";NA;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier Rives";32.5;25.2;1939;"Achat";"Achat à Jean-Emile Laboureur en 1939";"2653";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000079004"
"Nantes. (Fond du port maritime)";"Félix BENOIST";NA;"";"1818, Saumur (Maine-et-Loire, France) - 1896, Nantes (Loire-Atlantique, France)";"Estampe";"Série : Nantes et la Loire-InférieureLithographie sur papier Canson";19.9;28.7;NA;"Dépôt Etat";"Acquisition en 1876EtatDépôt au Musée des Beaux-Arts de Nantes en 1876";"3257 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005662"
"Environs de Saint Pierre aux Liens";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon noir et blanc - papier à dessin rosâtre";16;25;NA;"Mode d'acquisition non renseigné";"Acquisition";"N.I.";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007584"
"Etude de paludière portant une jarre. Etudes de pieds";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier mince";28.5;11.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"4211";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065130"
"Etude d'homme";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";30.3;14.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4424";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007152"
"Madame Destouches d'après J.A.D. Ingres";"Jean-Alexandre CORABOEUF";NA;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Estampe";"Eau-forte, tirage sur papier";54;38.1;2015;"Donation";"Donation Roseline Besnard-Viguier bis en 2015";"2015.1.29.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144477"
"Femme assise, jambes croisées, drapée";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain et crayon jaune";27.3;20.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5829";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000165455"
"Marine";"Maxime MAUFRA";1896;"";"1861, Nantes (Loire-Atlantique, France) - 1918, Poncé-sur-le-Loir (Sarthe, France)";"Dessin";"Aquarelle et fusain sur papier contrecollé sur carton";32;40;2006;"Achat";"Achat à Mme Duranceau en 2006";"06.8.2.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007405"
"Suite de l'enfant prodigue : le retour";"James TISSOT";1880;"Musée d'Arts - Palais - Salle 16";"1836, Nantes (Loire-Atlantique, France) - 1902, Buillon (Doubs)";"Peinture";"Ensemble de quatre tableaux (voir inv. n°1945, 1946, 1948)Huile sur toile";86;115.7;NA;"Dépôt Musée du Luxembourg";"Legs de M Tissot en 1904Musée du LuxembourgDépôt au Musée des Beaux-Arts de Nantes en 1914";"1947 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004469"
"Chasseur à demi agenouillé vers la gauche. Main droite appuyée sur sa tête";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur papier";31.8;23.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"4704";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066249"
"Les oeillets";"MORIN-JEAN (Jean Alexis MORIN, dit)";1935;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Gravure au burin sur papier";57.2;38.5;1951;"Don";"Don de Mlle Germaine Sauvaget-Morin-Jean en 1951";"6249";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002820"
"Illustration pour Notre-Dame de Paris de V. Hugo";"Luc-Olivier MERSON";1888;"";"1846, Paris (France) - 1920, Paris (France)";"Estampe";"Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné";28;22.5;1925;"Don";"Don de Héritiers Merson en 1925";"2721";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143186"
"Portrait de François Mellinet, membre de la Convention Nationale";"Jacques-Louis DAVID";1825;"";"1748, Paris (France) - 1825, Bruxelles (Belgique)";"Peinture";"De face, vêtu d'une redingote grise et d'un gilet rouge avec jabot blanc ; derrière lui, un rideau soulevé laisse voir une bibliothèqueBuste, 1/2 nat.Huile sur toile";25;20.5;1894;"Legs";"Legs Mellinet en 1894";"886";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004109"
"La Folie, à son cou, l'Amour vise un imprudent";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon fusain sur papier calque";20.3;14;NA;"Mode d'acquisition non renseigné";"Acquisition";"4784";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066326"
"Buste de femme, de 3/4, tête très lissée , yeux au ciel, chignon pris dans une écharpe";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume et mine de plomb sur papier";17.2;11.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5756";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007496"
